"countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"YUBA","CA",3,1,"5680",8913,409,4.58880287220913
"ADAMS","CO",9,5,"6000",40138,17446,43.4650455927052
"ALAMOSA","CO",2,2,"6010",1982,170,8.57719475277498
"ARAPAHOE","CO",10,3,"6020",54156,18873,34.8493241746067
"ARCHULETA","CO",1,1,"6030",1875,136,7.25333333333333
"BACA","CO",0,0,"6040",1052,0,0
"BENT","CO",1,1,"6050",925,14,1.51351351351351
"BOULDER","CO",7,3,"6060",34153,7503,21.968787515006
"CHAFFEE","CO",1,1,"6070",3390,211,6.22418879056047
"CHEYENNE","CO",0,0,"6080",333,0,0
"CLEAR CREEK","CO",3,3,"6090",638,241,37.7742946708464
"CONEJOS","CO",2,2,"6100",1533,211,13.7638617090672
"COSTILLA","CO",2,2,"6110",893,76,8.51063829787234
"CROWLEY","CO",1,1,"6120",662,22,3.32326283987915
"CUSTER","CO",1,1,"6130",840,39,4.64285714285714
"DELTA","CO",2,2,"6140",6578,1584,24.0802675585284
"DENVER","CO",11,5,"6150",71778,25826,35.9803839616596
"DOLORES","CO",1,1,"6160",408,15,3.67647058823529
"DOUGLAS","CO",5,4,"6170",8821,4421,50.1190341231153
"EAGLE","CO",1,1,"6180",1992,130,6.52610441767068
"ELBERT","CO",3,3,"6190",1679,396,23.5854675402025
"EL PASO","CO",8,3,"6200",61776,9305,15.0624838124838
"FREMONT","CO",4,2,"6210",8566,678,7.91501284146626
"GARFIELD","CO",2,1,"6220",5126,534,10.417479516192
"GILPIN","CO",2,2,"6230",237,88,37.1308016877637
"GRAND","CO",2,2,"6240",1263,48,3.80047505938242
"GUNNISON","CO",0,0,"6250",1163,0,0
"HINSDALE","CO",0,0,"6260",132,0,0
"HUERFANO","CO",2,2,"6270",1748,119,6.80778032036613
"JACKSON","CO",0,0,"6280",250,0,0
"JEFFERSON","CO",11,4,"6290",64969,29504,45.4124274654066
"KIOWA","CO",0,0,"6300",344,0,0
"KIT CARSON","CO",1,1,"6310",1305,38,2.91187739463602
"LAKE","CO",1,1,"6320",677,29,4.28360413589365
"LA PLATA","CO",1,1,"6330",5678,415,7.30891158858753
"LARIMER","CO",6,3,"6340",32397,4122,12.723400314844
"LAS ANIMAS","CO",3,3,"6350",3261,270,8.27966881324747
"LINCOLN","CO",1,1,"6360",892,15,1.68161434977578
"LOGAN","CO",1,1,"6370",3543,95,2.68134349421394
"MESA","CO",4,2,"6380",23387,8019,34.2882798135716
"MINERAL","CO",1,1,"6390",153,15,9.80392156862745
"MOFFAT","CO",1,1,"6400",1609,17,1.05655686761964
"MONTEZUMA","CO",1,1,"6410",4352,262,6.02022058823529
"MONTROSE","CO",1,1,"6420",6846,1481,21.6330704060765
"MORGAN","CO",2,1,"6430",4084,64,1.56709108716944
"OTERO","CO",2,2,"6440",4210,229,5.43942992874109
"OURAY","CO",1,1,"6450",555,102,18.3783783783784
"PARK","CO",3,3,"6460",1500,278,18.5333333333333
"PHILLIPS","CO",1,1,"6470",967,12,1.24095139607032
"PITKIN","CO",1,1,"6480",1164,23,1.97594501718213
"PROWERS","CO",1,1,"6490",2140,29,1.35514018691589
"PUEBLO","CO",7,3,"6500",27854,5468,19.6309327206146
"RIO BLANCO","CO",1,1,"6510",874,151,17.2768878718535
"RIO GRANDE","CO",2,2,"6520",2163,282,13.0374479889043
"ROUTT","CO",0,0,"6530",1528,0,0
"SAGUACHE","CO",2,2,"6540",893,32,3.58342665173572
"SAN JUAN","CO",0,0,"6550",74,0,0
"SAN MIGUEL","CO",1,1,"6560",363,39,10.7438016528926
"SEDGWICK","CO",0,0,"6570",659,0,0
"SUMMIT","CO",1,1,"6580",1404,63,4.48717948717949
"TELLER","CO",3,2,"6590",2688,382,14.2113095238095
"WASHINGTON","CO",0,0,"6600",897,0,0
"WELD","CO",7,2,"6610",21912,2316,10.5695509309967
"YUMA","CO",1,1,"6620",1667,28,1.67966406718656
"BROOMFIELD","CO",4,0,"6630",1198,1943,162.186978297162
"FAIRFIELD","CT",7,1,"7000",127678,12801,10.0260029135795
"HARTFORD","CT",5,1,"7010",144628,5279,3.65005393146555
"LITCHFIELD","CT",1,0,"7020",31029,44,0.141802829611009
"MIDDLESEX","CT",1,0,"7030",25611,34,0.132755456639725
"NEW HAVEN","CT",6,2,"7040",135269,11300,8.35372480021291
"NEW LONDON","CT",2,0,"7050",41545,46,0.110723312071248
"TOLLAND","CT",1,0,"7060",17595,35,0.198920147769253
"WINDHAM","CT",2,1,"7070",17344,125,0.720710332103321
"DISTRICT OF COLUMBIA","DC",4,2,"9000",77597,5478,7.05955127131203
"KENT","DE",2,0,"8000",21468,130,0.605552450158375
"NEW CASTLE","DE",6,1,"8010",71811,610,0.849452033810976
"SUSSEX","DE",3,0,"8020",38990,118,0.302641703000769
"ALACHUA","FL",0,0,"10000",29968,0,0
"BAKER","FL",1,1,"10010",3220,289,8.97515527950311
"BAY","FL",1,0,"10020",27635,11,0.0398045956214945
"BRADFORD","FL",0,0,"10030",3779,0,0
"BREVARD","FL",9,4,"10040",110823,25616,23.1143354718786
"BROWARD","FL",35,8,"10050",248637,106050,42.6525416571146
"CALHOUN","FL",0,0,"10060",2294,0,0
"CHARLOTTE","FL",7,1,"10070",41290,3369,8.15936062000484
"CITRUS","FL",3,0,"10080",40087,83,0.207049666974331
"CLAY","FL",2,1,"10090",20446,196,0.958622713489191
"COLLIER","FL",6,0,"10100",59745,185,0.309649343041259
"COLUMBIA","FL",1,0,"10110",11345,21,0.185103569854561
"MIAMI-DADE","FL",27,13,"10120",347328,160716,46.2721116639027
"DE SOTO","FL",0,0,"10130",5189,0,0
"DIXIE","FL",0,0,"10140",3102,0,0
"DUVAL","FL",7,2,"10150",106738,8981,8.41406059697577
"ESCAMBIA","FL",4,1,"10160",50862,3123,6.14014391883921
"FLAGLER","FL",3,2,"10170",20064,4919,24.5165470494418
"FRANKLIN","FL",0,0,"10180",1922,0,0
"GADSDEN","FL",2,2,"10190",7739,1131,14.6142912520998
"GILCHRIST","FL",0,0,"10200",2760,0,0
"GLADES","FL",1,1,"10210",1100,46,4.18181818181818
"GULF","FL",0,0,"10220",2883,0,0
"HAMILTON","FL",0,0,"10230",2166,0,0
"HARDEE","FL",0,0,"10240",3583,0,0
"HENDRY","FL",1,0,"10250",4385,21,0.478905359179019
"HERNANDO","FL",9,5,"10260",46165,12467,27.0053070507961
"HIGHLANDS","FL",3,0,"10270",27680,75,0.270953757225434
"HILLSBOROUGH","FL",16,5,"10280",155348,39148,25.2001956896774
"HOLMES","FL",0,0,"10290",4003,0,0
"INDIAN RIVER","FL",4,2,"10300",33911,1962,5.78573324290053
"JACKSON","FL",0,0,"10310",9692,0,0
"JEFFERSON","FL",3,3,"10320",2426,351,14.4682605111294
"LAFAYETTE","FL",0,0,"10330",801,0,0
"LAKE","FL",8,1,"10340",86218,2106,2.44264538727412
"LEE","FL",16,1,"10350",115457,8365,7.24512156040777
"LEON","FL",4,2,"10360",25089,4864,19.3869823428594
"LEVY","FL",1,0,"10370",7804,14,0.17939518195797
"LIBERTY","FL",0,0,"10380",1026,0,0
"MADISON","FL",0,0,"10390",3544,0,0
"MANATEE","FL",8,3,"10400",59059,5547,9.3923026126416
"MARION","FL",7,1,"10410",81640,1099,1.34615384615385
"MARTIN","FL",8,2,"10420",35249,3245,9.20593492013958
"MONROE","FL",2,0,"10430",11465,70,0.610553859572612
"NASSAU","FL",1,1,"10440",10846,1178,10.8611469666236
"OKALOOSA","FL",2,0,"10450",28374,63,0.222034256713893
"OKEECHOBEE","FL",3,2,"10460",7612,679,8.92012611665791
"ORANGE","FL",13,3,"10470",121306,20847,17.1854648574679
"OSCEOLA","FL",7,2,"10480",31045,6104,19.6617812852311
"PALM BEACH","FL",29,6,"10490",254676,68493,26.8941714178014
"PASCO","FL",11,5,"10500",92419,30120,32.5907010463216
"PINELLAS","FL",17,5,"10510",200313,48361,24.1427166484452
"POLK","FL",12,4,"10520",101830,10207,10.0235686929196
"PUTNAM","FL",2,0,"10530",15383,44,0.286030033153481
"SAINT JOHNS","FL",2,1,"10540",26725,747,2.79513564078578
"SAINT LUCIE","FL",9,3,"10550",48306,5680,11.7583737009895
"SANTA ROSA","FL",2,1,"10560",20183,1593,7.89278105336174
"SARASOTA","FL",9,2,"10570",111811,5517,4.93421935229986
"SEMINOLE","FL",5,3,"10580",45734,7685,16.8036909082958
"SUMTER","FL",4,0,"10590",9131,75,0.821377724236119
"SUWANNEE","FL",1,0,"10600",8374,18,0.214951038930021
"TAYLOR","FL",0,0,"10610",3571,0,0
"UNION","FL",0,0,"10620",1474,0,0
"VOLUSIA","FL",9,2,"10630",110013,32753,29.7719360439221
"WAKULLA","FL",2,2,"10640",4115,673,16.3547995139733
"WALTON","FL",0,0,"10650",6754,0,0
"WASHINGTON","FL",0,0,"10660",4170,0,0
"APPLING","GA",1,1,"11000",2713,20,0.737191301142647
"ATKINSON","GA",0,0,"11010",1159,0,0
"BACON","GA",0,0,"11011",1628,0,0
"BAKER","GA",1,1,"11020",389,11,2.82776349614396
"BALDWIN","GA",2,1,"11030",6760,144,2.1301775147929
"BANKS","GA",2,2,"11040",1811,37,2.04307012700166
"BARROW","GA",3,2,"11050",6834,178,2.60462393912789
"BARTOW","GA",4,2,"11060",11279,288,2.55341785619292
"BEN HILL","GA",0,0,"11070",3072,0,0
"BERRIEN","GA",0,0,"11080",2938,0,0
"BIBB","GA",2,1,"11090",28147,185,0.657263651543681
"BLECKLEY","GA",0,0,"11100",2021,0,0
"BRANTLEY","GA",1,1,"11110",2220,20,0.900900900900901
"BROOKS","GA",0,0,"11120",2364,0,0
"BRYAN","GA",1,1,"11130",3143,33,1.0499522748966
"BULLOCH","GA",1,0,"11140",6424,26,0.404732254047322
"BURKE","GA",1,1,"11150",3175,135,4.25196850393701
"BUTTS","GA",2,2,"11160",3605,75,2.08044382801664
"CALHOUN","GA",0,0,"11161",1226,0,0
"CAMDEN","GA",2,1,"11170",4240,48,1.13207547169811
"CANDLER","GA",0,0,"11180",1681,0,0
"CARROLL","GA",2,1,"11190",14652,122,0.832650832650833
"CATOOSA","GA",3,1,"11200",6243,81,1.29745314752523
"CHARLTON","GA",1,1,"11210",1605,19,1.18380062305296
"CHATHAM","GA",1,1,"11220",35181,318,0.903896989852477
"CHATTAHOOCHEE","GA",1,1,"11230",465,16,3.44086021505376
"CHATTOOGA","GA",0,0,"11240",4875,0,0
"CHEROKEE","GA",3,2,"11250",14559,1072,7.36314307301326
"CLARKE","GA",1,1,"11260",11808,396,3.35365853658537
"CLAY","GA",0,0,"11270",600,0,0
"CLAYTON","GA",5,2,"11280",24963,1359,5.4440572046629
"CLINCH","GA",0,0,"11281",1123,0,0
"COBB","GA",7,2,"11290",64964,3038,4.67643618003818
"COFFEE","GA",1,0,"11291",5501,16,0.290856207962189
"COLQUITT","GA",1,0,"11300",6754,18,0.26650873556411
"COLUMBIA","GA",3,0,"11310",11350,109,0.960352422907489
"COOK","GA",1,1,"11311",2605,15,0.575815738963532
"COWETA","GA",3,2,"11320",12007,558,4.6472890813692
"CRAWFORD","GA",1,1,"11330",983,44,4.47609359104781
"CRISP","GA",1,1,"11340",3730,20,0.536193029490617
"DADE","GA",0,0,"11341",2800,0,0
"DAWSON","GA",2,0,"11350",2664,22,0.825825825825826
"DECATUR","GA",1,1,"11360",4604,130,2.8236316246742
"DEKALB","GA",8,3,"11370",65121,3874,5.94892584573333
"DODGE","GA",0,0,"11380",3300,0,0
"DOOLY","GA",0,0,"11381",1798,0,0
"DOUGHERTY","GA",1,1,"11390",15194,467,3.07358167697775
"DOUGLAS","GA",4,2,"11400",10575,448,4.23640661938534
"EARLY","GA",1,1,"11410",2092,40,1.91204588910134
"EFFINGHAM","GA",2,1,"11421",4433,63,1.42115948567561
"ELBERT","GA",0,0,"11430",4245,0,0
"EMANUEL","GA",1,1,"11440",4096,33,0.8056640625
"EVANS","GA",1,1,"11441",1807,14,0.774764803541782
"FANNIN","GA",2,1,"11450",5034,43,0.854191497814859
"FAYETTE","GA",3,3,"11451",11491,537,4.67322252197372
"FLOYD","GA",2,0,"11460",16347,91,0.556677066128342
"FORSYTH","GA",2,2,"11461",9564,793,8.29150982852363
"FRANKLIN","GA",1,0,"11462",4615,19,0.411700975081257
"FULTON","GA",7,3,"11470",78706,4471,5.68063425914162
"GILMER","GA",2,1,"11471",4737,37,0.781085074941946
"GLYNN","GA",1,0,"11490",12413,58,0.467252074438089
"GORDON","GA",1,0,"11500",7187,22,0.306108251008766
"GRADY","GA",2,1,"11510",3680,91,2.47282608695652
"GREENE","GA",2,1,"11520",3098,143,4.61588121368625
"GWINNETT","GA",7,2,"11530",45007,3065,6.81005176972471
"HABERSHAM","GA",2,1,"11540",6818,60,0.880023467292461
"HALL","GA",4,3,"11550",19691,589,2.99121426032197
"HANCOCK","GA",0,0,"11560",1625,0,0
"HARALSON","GA",1,1,"11570",4859,59,1.21424161350072
"HARRIS","GA",1,1,"11580",3306,87,2.63157894736842
"HART","GA",1,1,"11581",3759,20,0.532056397978186
"HEARD","GA",1,1,"11590",1340,26,1.94029850746269
"HENRY","GA",4,2,"11591",14753,1021,6.92062631329221
"HOUSTON","GA",1,1,"11600",15036,126,0.837988826815642
"IRWIN","GA",0,0,"11601",1383,0,0
"JACKSON","GA",3,1,"11610",7543,212,2.81055283043882
"JASPER","GA",1,1,"11611",1633,34,2.08205756276791
"JEFF DAVIS","GA",1,1,"11612",2245,15,0.66815144766147
"JEFFERSON","GA",1,1,"11620",3244,125,3.85326757090012
"JENKINS","GA",0,0,"11630",1465,0,0
"JOHNSON","GA",0,0,"11640",1551,0,0
"JONES","GA",2,2,"11650",2296,114,4.96515679442509
"LAMAR","GA",1,1,"11651",2649,53,2.0007550018875
"LANIER","GA",0,0,"11652",971,0,0
"LAURENS","GA",1,1,"11660",8126,62,0.762983017474772
"LEE","GA",1,1,"11670",2170,43,1.9815668202765
"LIBERTY","GA",1,1,"11680",3993,43,1.07688454795893
"LINCOLN","GA",0,0,"11690",1486,0,0
"LONG","GA",0,0,"11691",783,0,0
"LOWNDES","GA",1,0,"11700",12604,36,0.285623611551888
"LUMPKIN","GA",2,1,"11701",2898,38,1.31124913733609
"MCDUFFIE","GA",1,0,"11702",3352,15,0.447494033412888
"MCINTOSH","GA",0,0,"11703",1985,0,0
"MACON","GA",0,0,"11710",2028,0,0
"MADISON","GA",1,1,"11720",4368,150,3.43406593406593
"MARION","GA",1,1,"11730",805,17,2.11180124223602
"MERIWETHER","GA",2,1,"11740",3625,145,4
"MILLER","GA",1,1,"11741",1167,43,3.68466152527849
"MITCHELL","GA",1,1,"11750",3568,178,4.98878923766816
"MONROE","GA",1,1,"11760",2973,38,1.27817019845274
"MONTGOMERY","GA",0,0,"11770",1384,0,0
"MORGAN","GA",0,0,"11771",2688,0,0
"MURRAY","GA",1,0,"11772",4680,12,0.256410256410256
"MUSCOGEE","GA",4,1,"11780",27544,644,2.33807725820505
"NEWTON","GA",3,1,"11790",10626,175,1.64690382081686
"OCONEE","GA",1,1,"11800",3202,44,1.37414116177389
"OGLETHORPE","GA",0,0,"11801",1285,0,0
"PAULDING","GA",4,2,"11810",6714,269,4.00655347036044
"PEACH","GA",1,1,"11811",4463,55,1.23235491821645
"PICKENS","GA",2,1,"11812",4390,54,1.23006833712984
"PIERCE","GA",1,1,"11820",3073,23,0.748454279205988
"PIKE","GA",1,1,"11821",2306,31,1.34431916738942
"POLK","GA",2,0,"11830",7285,36,0.494166094715168
"PULASKI","GA",0,0,"11831",1775,0,0
"PUTNAM","GA",1,1,"11832",3385,19,0.561299852289513
"QUITMAN","GA",1,1,"11833",398,12,3.01507537688442
"RABUN","GA",1,0,"11834",3270,11,0.336391437308869
"RANDOLPH","GA",1,1,"11835",1400,46,3.28571428571429
"RICHMOND","GA",4,1,"11840",28746,405,1.40889167188478
"ROCKDALE","GA",3,2,"11841",8724,234,2.68225584594223
"SCHLEY","GA",0,0,"11842",535,0,0
"SCREVEN","GA",0,0,"11850",2585,0,0
"SEMINOLE","GA",1,1,"11851",1915,24,1.2532637075718
"SPALDING","GA",3,1,"11860",9754,131,1.34303875333197
"STEPHENS","GA",1,0,"11861",5900,20,0.338983050847458
"STEWART","GA",1,1,"11862",979,29,2.96220633299285
"SUMTER","GA",1,1,"11870",4820,110,2.28215767634855
"TALBOT","GA",1,1,"11880",1158,64,5.52677029360967
"TALIAFERRO","GA",0,0,"11881",407,0,0
"TATTNALL","GA",0,0,"11882",3546,0,0
"TAYLOR","GA",1,1,"11883",1684,39,2.31591448931116
"TELFAIR","GA",0,0,"11884",2408,0,0
"TERRELL","GA",1,1,"11885",1793,63,3.51366424986057
"THOMAS","GA",1,1,"11890",8834,193,2.18474077428119
"TIFT","GA",1,0,"11900",6253,19,0.303854150007996
"TOOMBS","GA",1,0,"11901",4845,15,0.309597523219814
"TOWNS","GA",0,0,"11902",3047,0,0
"TREUTLEN","GA",0,0,"11903",1119,0,0
"TROUP","GA",2,1,"11910",10003,325,3.24902529241228
"TURNER","GA",0,0,"11911",1699,0,0
"TWIGGS","GA",1,1,"11912",1571,19,1.20942075111394
"UNION","GA",2,0,"11913",5098,43,0.843468026677128
"UPSON","GA",2,2,"11920",4724,306,6.47756138865368
"WALKER","GA",1,0,"11921",12623,41,0.32480392933534
"WALTON","GA",4,1,"11930",10554,124,1.17490998673489
"WARE","GA",1,0,"11940",7524,36,0.478468899521531
"WARREN","GA",0,0,"11941",1096,0,0
"WASHINGTON","GA",1,1,"11950",3373,113,3.35013341239253
"WAYNE","GA",1,0,"11960",4431,17,0.383660573234033
"WEBSTER","GA",1,1,"11961",314,13,4.14012738853503
"WHEELER","GA",0,0,"11962",946,0,0
"WHITE","GA",2,0,"11963",4318,35,0.810560444650301
"WHITFIELD","GA",2,0,"11970",12731,38,0.298484015395491
"WILCOX","GA",0,0,"11971",1525,0,0
"WILKES","GA",0,0,"11972",2374,0,0
"WILKINSON","GA",0,0,"11973",2006,0,0
"WORTH","GA",1,1,"11980",2884,21,0.728155339805825
"GUAM","GU",0,0,"GUzzz",11770,0,0
"HAWAII","HI",4,2,"12010",25421,7132,28.0555446284568
"HONOLULU","HI",8,3,"12020",136871,44256,32.3340956082735
"KAUAI","HI",2,2,"12040",9496,2823,29.7283066554339
"MAUI","HI",4,2,"12050",17437,6973,39.9896771233584
"ADAIR","IA",1,1,"16000",1589,29,1.82504719949654
"ADAMS","IA",0,0,"16010",989,0,0
"ALLAMAKEE","IA",2,1,"16020",2940,45,1.53061224489796
"APPANOOSE","IA",2,2,"16030",3134,65,2.07402680280791
"AUDUBON","IA",1,1,"16040",1501,14,0.932711525649567
"BENTON","IA",4,4,"16050",4153,265,6.38092944859138
"BLACK HAWK","IA",5,2,"16060",21051,4223,20.0608047123652
"BOONE","IA",2,2,"16070",4530,164,3.62030905077263
"BREMER","IA",2,2,"16080",4481,472,10.5333630885963
"BUCHANAN","IA",3,2,"16090",3636,451,12.4037403740374
"BUENA VISTA","IA",0,0,"16100",3567,0,0
"BUTLER","IA",2,2,"16110",3349,191,5.70319498357719
"CALHOUN","IA",0,0,"16120",2522,0,0
"CARROLL","IA",2,1,"16130",4577,69,1.50753768844221
"CASS","IA",0,0,"16140",3453,0,0
"CEDAR","IA",4,4,"16150",2961,177,5.97771023302938
"CERRO GORDO","IA",0,0,"16160",9337,0,0
"CHEROKEE","IA",2,2,"16170",2821,119,4.21836228287841
"CHICKASAW","IA",1,1,"16180",2570,62,2.4124513618677
"CLARKE","IA",1,1,"16190",1606,18,1.12079701120797
"CLAY","IA",0,0,"16200",3448,0,0
"CLAYTON","IA",4,2,"16210",3869,442,11.4241406048074
"CLINTON","IA",2,2,"16220",9428,155,1.64403903266865
"CRAWFORD","IA",2,2,"16230",3138,73,2.32632249840663
"DALLAS","IA",3,2,"16240",5556,218,3.92368610511159
"DAVIS","IA",1,1,"16250",1534,80,5.21512385919166
"DECATUR","IA",1,1,"16260",1776,12,0.675675675675676
"DELAWARE","IA",4,4,"16270",2943,235,7.98504926945294
"DES MOINES","IA",1,1,"16280",7989,146,1.82751283014144
"DICKINSON","IA",0,0,"16290",3943,0,0
"DUBUQUE","IA",4,2,"16300",16055,5355,33.3540952974151
"EMMET","IA",0,0,"16310",2243,0,0
"FAYETTE","IA",3,2,"16320",4386,210,4.78796169630643
"FLOYD","IA",1,0,"16330",3670,14,0.381471389645777
"FRANKLIN","IA",0,0,"16340",2016,0,0
"FREMONT","IA",0,0,"16350",1635,0,0
"GREENE","IA",3,3,"16360",2253,89,3.9502885042166
"GRUNDY","IA",4,4,"16370",2413,220,9.11728139245752
"GUTHRIE","IA",4,4,"16380",2495,126,5.0501002004008
"HAMILTON","IA",1,1,"16390",3096,30,0.968992248062015
"HANCOCK","IA",0,0,"16400",2288,0,0
"HARDIN","IA",2,1,"16410",4250,42,0.988235294117647
"HARRISON","IA",1,0,"16420",3061,14,0.457366873570729
"HENRY","IA",2,2,"16430",3537,169,4.77806050325134
"HOWARD","IA",0,0,"16440",1991,0,0
"HUMBOLDT","IA",0,0,"16450",2182,0,0
"IDA","IA",1,1,"16460",1644,31,1.88564476885645
"IOWA","IA",3,3,"16470",2957,99,3.34798782549882
"JACKSON","IA",3,3,"16480",3990,506,12.6817042606516
"JASPER","IA",3,2,"16490",6538,121,1.85071887427348
"JEFFERSON","IA",2,2,"16500",2484,44,1.77133655394525
"JOHNSON","IA",4,3,"16510",11112,345,3.10475161987041
"JONES","IA",4,3,"16520",3519,207,5.88235294117647
"KEOKUK","IA",3,3,"16530",2531,97,3.83247728170684
"KOSSUTH","IA",1,0,"16540",3649,14,0.383666758015895
"LEE","IA",2,2,"16550",6931,219,3.15971721252345
"LINN","IA",4,2,"16560",29812,2273,7.62444653159801
"LOUISA","IA",2,2,"16570",1939,72,3.7132542547705
"LUCAS","IA",1,1,"16580",1996,12,0.601202404809619
"LYON","IA",0,0,"16590",2125,0,0
"MADISON","IA",2,2,"16600",2385,69,2.89308176100629
"MAHASKA","IA",3,3,"16610",3991,146,3.65823101979454
"MARION","IA",3,3,"16620",5827,215,3.68972026771924
"MARSHALL","IA",4,2,"16630",7581,182,2.40073868882733
"MILLS","IA",0,0,"16640",2480,0,0
"MITCHELL","IA",0,0,"16650",2546,0,0
"MONONA","IA",0,0,"16660",2330,0,0
"MONROE","IA",1,1,"16670",1620,109,6.7283950617284
"MONTGOMERY","IA",0,0,"16680",2532,0,0
"MUSCATINE","IA",4,3,"16690",6651,343,5.15711923019095
"OBRIEN","IA",1,1,"16700",3490,31,0.888252148997135
"OSCEOLA","IA",0,0,"16710",1365,0,0
"PAGE","IA",1,1,"16720",3644,42,1.15257958287596
"PALO ALTO","IA",0,0,"16730",2273,0,0
"PLYMOUTH","IA",1,1,"16740",4273,329,7.69950854200796
"POCAHONTAS","IA",0,0,"16750",2043,0,0
"POLK","IA",8,2,"16760",52388,2730,5.21111704970604
"POTTAWATTAMIE","IA",5,3,"16770",14973,2638,17.6183797502171
"POWESHIEK","IA",2,1,"16780",3681,41,1.11382776419451
"RINGGOLD","IA",0,0,"16790",1258,0,0
"SAC","IA",0,0,"16800",2614,0,0
"SCOTT","IA",5,3,"16810",23797,1289,5.41664915745682
"SHELBY","IA",1,1,"16820",2758,55,1.99419869470631
"SIOUX","IA",1,1,"16830",5224,36,0.689127105666156
"STORY","IA",3,2,"16840",9648,188,1.9485903814262
"TAMA","IA",4,4,"16850",3634,248,6.82443588332416
"TAYLOR","IA",0,0,"16860",1610,0,0
"UNION","IA",1,1,"16870",2827,22,0.778210116731518
"VAN BUREN","IA",2,2,"16880",1845,41,2.22222222222222
"WAPELLO","IA",2,2,"16890",7498,913,12.1765804214457
"WARREN","IA",5,2,"16900",5749,224,3.89632979648635
"WASHINGTON","IA",3,2,"16910",4257,117,2.74841437632135
"WAYNE","IA",1,1,"16920",1636,11,0.672371638141809
"WEBSTER","IA",2,0,"16930",7825,58,0.741214057507987
"WINNEBAGO","IA",1,0,"16940",2507,12,0.478659752692461
"WINNESHIEK","IA",1,0,"16950",3621,13,0.35901684617509
"WOODBURY","IA",3,1,"16960",16345,655,4.00734169470786
"WORTH","IA",0,0,"16970",1472,0,0
"WRIGHT","IA",1,0,"16980",3160,11,0.348101265822785
"ADA","ID",10,3,"13000",39898,8203,20.5599278159306
"ADAMS","ID",1,1,"13010",835,11,1.31736526946108
"BANNOCK","ID",5,2,"13020",10139,949,9.35989742578164
"BEAR LAKE","ID",1,1,"13030",1151,51,4.43092962641182
"BENEWAH","ID",2,2,"13040",1891,128,6.76890534108937
"BINGHAM","ID",2,1,"13050",5612,76,1.35424091233072
"BLAINE","ID",0,0,"13060",2041,0,0
"BOISE","ID",1,1,"13070",854,202,23.6533957845433
"BONNER","ID",3,3,"13080",6728,603,8.96254458977408
"BONNEVILLE","ID",2,0,"13090",11878,72,0.606162653645395
"BOUNDARY","ID",2,2,"13100",1902,169,8.88538380651945
"BUTTE","ID",0,0,"13110",581,0,0
"CANYON","ID",8,4,"13130",20809,5347,25.6956124753712
"CARIBOU","ID",0,0,"13140",1197,0,0
"CASSIA","ID",1,1,"13150",3116,23,0.738125802310655
"CLEARWATER","ID",2,2,"13170",1944,140,7.20164609053498
"CUSTER","ID",0,0,"13180",785,0,0
"ELMORE","ID",3,3,"13190",2693,106,3.93613070924619
"FRANKLIN","ID",0,0,"13200",1597,0,0
"FREMONT","ID",0,0,"13210",1830,0,0
"GEM","ID",3,3,"13220",3058,616,20.1438848920863
"GOODING","ID",1,1,"13230",2376,21,0.883838383838384
"IDAHO","ID",2,2,"13240",3065,272,8.87438825448613
"JEFFERSON","ID",0,0,"13250",2552,0,0
"JEROME","ID",2,2,"13260",2616,63,2.40825688073395
"KOOTENAI","ID",7,4,"13270",20758,2292,11.0415261585895
"LATAH","ID",2,2,"13280",4086,226,5.53108174253549
"LEMHI","ID",0,0,"13290",1731,0,0
"LEWIS","ID",2,2,"13300",1460,56,3.83561643835616
"LINCOLN","ID",0,0,"13310",570,0,0
"MADISON","ID",0,0,"13320",2146,0,0
"MINIDOKA","ID",2,1,"13330",3190,30,0.940438871473354
"NEZ PERCE","ID",3,3,"13340",7892,601,7.61530663963507
"ONEIDA","ID",0,0,"13350",721,0,0
"OWYHEE","ID",2,2,"13360",1439,297,20.6393328700486
"PAYETTE","ID",4,3,"13370",3432,548,15.967365967366
"POWER","ID",1,1,"13380",942,21,2.22929936305732
"SHOSHONE","ID",2,2,"13390",3170,226,7.12933753943218
"TETON","ID",0,0,"13400",617,0,0
"TWIN FALLS","ID",3,1,"13410",11409,196,1.71794197563327
"VALLEY","ID",2,2,"13420",1572,55,3.49872773536896
"WASHINGTON","ID",4,4,"13430",2149,344,16.0074453234062
"ADAMS","IL",1,0,"14000",13103,11,0.0839502404029611
"ALEXANDER","IL",1,1,"14010",2015,33,1.63771712158809
"BOND","IL",0,0,"14020",2985,0,0
"BOONE","IL",3,2,"14030",5885,453,7.69753610875106
"BROWN","IL",0,0,"14040",946,0,0
"BUREAU","IL",2,1,"14050",6859,135,1.96821694124508
"CALHOUN","IL",0,0,"14060",1101,0,0
"CARROLL","IL",1,1,"14070",3698,73,1.97404002163332
"CASS","IL",1,1,"14080",2535,13,0.512820512820513
"CHAMPAIGN","IL",5,1,"14090",21149,2798,13.2299399498794
"CHRISTIAN","IL",2,1,"14100",6862,115,1.67589624016322
"CLARK","IL",1,1,"14110",3337,243,7.28198981120767
"CLAY","IL",2,1,"14120",2987,32,1.07130900569133
"CLINTON","IL",1,1,"14130",5273,62,1.1758012516594
"COLES","IL",3,0,"14140",8119,81,0.997659810321468
"COOK","IL",25,2,"14141",687981,39831,5.78954942069621
